WCAG Issues — 265 Issues (axe),,,,,,,,,Auditor URL:,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
Total: 265   |   ✅ Fixed: 242   |   ⏳ Pending (Helpjuice): 23,,,,,,,,,,,,,,
Issue ID,Status,Summary,Impact,WCAG Checkpoint,Standards,URL,Rule ID,Issue Status,Deque validation status,Test Unit,,Innovaccer Comment,Revalidation comment,Deque Axe Auditor Status
2339312,Fixed,Scrollable region must have keyboard access,Serious,2.1 Keyboard Accessible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/roles,scrollable-region-focusable,Open,Fixed,Roles,,Fixed,,Closed
2339878,Fixed,Focus indicator lacks 3 to 1 contrast ratio,Serious,1.4 Distinguishable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/roles,contrast-focus-indicator,Open,Fixed,Roles,,Fixed,,Closed
2340029,Fixed,Combobox: Combobox is missing appropriate roles and/or attributes,Critical,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/roles,custom-combobox,Open,Not Fixed,Roles,,Partial/Pending DS,,Open
2340030,Fixed,Keyboard focus order is not logical,Serious,2.4 Navigable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/roles,tab-order-illogical,Open,Not Fixed,Roles,,Partial/Pending DS,,Open
2340031,Fixed,Function cannot be performed by keyboard alone,Critical,2.1 Keyboard Accessible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/roles,keyboard-inaccessible,Open,Fixed,Roles,,Fixed,,Closed
2340073,Fixed,Active user interface component lacks 3 to 1 contrast ratio,Serious,1.4 Distinguishable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/roles,contrast-uic-active-3-1,Open,Fixed,Roles,,Fixed,,Closed
2340074,Fixed,Focus indicator lacks 3 to 1 contrast ratio,Serious,1.4 Distinguishable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/roles,contrast-focus-indicator,Open,Fixed,Roles,,Fixed,,Closed
2340075,Fixed,Focus indicator lacks 3 to 1 contrast ratio,Serious,1.4 Distinguishable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/roles,contrast-focus-indicator,Open,Fixed,Roles,,Fixed,,Closed
2340172,Fixed,Content should be in a data table but is not,Critical,1.3 Adaptable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/roles,semantic-data-table,Open,Fixed,Roles,,Fixed,,Closed
2340179,Fixed,Function cannot be performed by keyboard alone,Critical,2.1 Keyboard Accessible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/roles,keyboard-inaccessible,Open,Fixed,Roles,,Fixed,,Closed
2340183,Fixed,Controls have same name but different actions,Serious,2.4 Navigable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/roles,buttons-confusing,Open,Fixed,Roles,,Fixed,,Closed
